Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-01-01,SBIN,EQ,274.95,274.9,280.0,274.4,279.05,279.4,278.33,24531791,682796825780000.0,141601,4783442,0.195
2021-01-04,SBIN,EQ,279.4,281.85,283.9,277.75,281.1,281.05,281.41,31450608,885046405845000.1,171760,6521226,0.2073
2021-01-05,SBIN,EQ,281.05,278.05,282.45,277.0,281.4,281.75,279.69,27393072,766157430375000.0,155149,4984903,0.182
2021-01-06,SBIN,EQ,281.75,283.0,289.15,281.4,283.9,285.05,285.76,40765708,1164907362810000.0,224327,6201351,0.1521
2021-01-07,SBIN,EQ,285.05,289.0,291.8,287.0,288.0,287.7,289.15,30546600,883250185510000.0,183684,8560453,0.2802
2021-01-08,SBIN,EQ,287.7,290.1,291.4,285.2,285.9,286.0,288.25,32543357,938050138885000.0,169736,7276745,0.2236
2021-01-11,SBIN,EQ,286.0,288.0,288.2,279.6,282.8,282.5,282.5,29703173,839102679705000.0,209864,8900394,0.29960000000000003
2021-01-12,SBIN,EQ,282.5,280.0,293.85,277.9,293.2,292.5,286.89,44307145,1271141918325000.0,275857,14782759,0.3336
2021-01-13,SBIN,EQ,292.5,296.0,308.0,294.5,305.95,306.8,301.17,78042133,2350397822325000.0,413038,15723571,0.20149999999999998
2021-01-14,SBIN,EQ,306.8,306.7,309.25,303.8,307.7,307.25,307.16,40123498,1232415007750000.0,244731,11711561,0.2919
2021-01-15,SBIN,EQ,307.25,306.8,310.9,301.3,303.95,303.85,306.2,35307601,1081133384195000.1,277615,7294222,0.2066
2021-01-18,SBIN,EQ,303.85,303.5,308.65,292.2,292.45,294.45,299.23,54969750,1644832641365000.0,332808,14155561,0.2575
2021-01-19,SBIN,EQ,294.45,297.65,302.5,296.4,298.4,298.6,299.11,35803901,1070924185254999.9,226098,10094694,0.28190000000000004
2021-01-20,SBIN,EQ,298.6,298.8,304.7,296.85,302.2,302.55,301.07,33759304,1016398189175000.0,215324,7439506,0.22039999999999998
2021-01-21,SBIN,EQ,302.55,304.0,305.15,291.5,296.8,294.85,300.2,29995203,900451307245000.1,214429,6169577,0.2057
2021-01-22,SBIN,EQ,294.85,295.5,298.0,282.4,284.4,283.7,289.3,44440810,1285667988075000.0,287829,12528656,0.28190000000000004
2021-01-25,SBIN,EQ,283.7,284.5,288.0,277.05,281.0,280.95,283.38,34034630,964482910075000.0,246225,6123604,0.17989999999999998
2021-01-27,SBIN,EQ,280.95,280.2,284.85,272.7,275.0,275.65,278.67,39211107,1092676934795000.1,275743,9156487,0.2335
2021-01-28,SBIN,EQ,275.65,271.9,283.35,269.5,282.9,282.35,277.04,48717297,1349667625260000.0,280797,11729218,0.2408
2021-01-29,SBIN,EQ,282.35,285.6,290.65,279.1,281.75,282.1,283.48,42300984,1199128259315000.0,257824,9905258,0.23420000000000002
2021-02-01,SBIN,EQ,282.1,285.1,313.9,282.75,313.0,310.7,300.59,103414068,3108566789260000.0,571788,29428379,0.2846
2021-02-02,SBIN,EQ,310.7,315.0,337.4,315.0,331.4,333.1,325.89,121434166,3957385592419999.5,696797,32088704,0.26420000000000005
2021-02-03,SBIN,EQ,333.1,333.75,339.9,325.8,335.75,335.95,334.1,66420168,2219088273705000.0,464739,13550924,0.204
2021-02-04,SBIN,EQ,335.95,334.4,358.0,331.1,357.95,355.1,343.11,145203439,4982132498270000.0,799597,26685044,0.1838
